DOI	Organism	Tissue	Technique	Data location	itemLabel	normalized_doi	item
10.1073/PNAS.97.11.6144	Rat	Brain	sc-RT-mPCR		Classification of fusiform neocortical interneurons based on unsupervised clustering	10.1073/PNAS.97.11.6144	Q35762020
10.1016/S0092-8674(00)80581-4	Mouse	Brain	PCR		Combinatorial receptor codes for odors	10.1016/S0092-8674(00)80581-4	Q29616773
10.1016/S0896-6273(03)00229-0	Human, Mouse	Brain	PCR		Single-cell transcriptional analysis of neuronal progenitors.	10.1016/S0896-6273(03)00229-0	Q30921133
10.1093/CERCOR/BHJ081	Rat	Brain	sc-RT-mPCR		Cortical sources of CRF, NKB, and CCK and their effects on pyramidal cells in the neocortex.	10.1093/CERCOR/BHJ081	Q46843681
10.1093/NAR/GKL050	Mouse	ICM	aRNA amplification	GSE4309	An improved single-cell cDNA amplification method for efficient high-density oligonucleotide microarray analysis	10.1093/NAR/GKL050	Q25256621
10.1093/CERCOR/BHL104	Rat	Brain	sc-RT-mPCR		Extensive overlap of mu-opioid and nicotinic sensitivity in cortical interneurons.	10.1093/CERCOR/BHL104	Q44332619
10.1016/J.NEURES.2007.12.011	Mouse	Brain	Super SMART		Method for single-cell microarray analysis and application to gene-expression profiling of GABAergic neuron progenitors.	10.1016/J.NEURES.2007.12.011	Q46749180
10.1186/1471-2164-9-268	Mouse	Brain	PCR		Modelling and measuring single cell RNA expression levels find considerable transcriptional differences among phenotypically identical cells.	10.1186/1471-2164-9-268	Q33340138
10.1523/JNEUROSCI.0058-09.2009	Rat	Brain	sc-RT-mPCR		Classification of NPY-expressing neocortical interneurons.	10.1523/JNEUROSCI.0058-09.2009	Q30490498
10.1038/NMETH.1315	Mouse	Oocyte	Tang	GSE14605	mRNA-Seq whole-transcriptome analysis of a single cell	10.1038/NMETH.1315	Q28240611
10.1073/PNAS.0902161106	Rat	Brain	aRNA amplification		Transcriptome transfer produces a predictable cellular phenotype.	10.1073/PNAS.0902161106	Q37163078
10.1016/J.DEVCEL.2010.02.012	Mouse	Embryo	BioMark		Resolution of cell fate decisions revealed by single-cell gene expression analysis from zygote to blastocyst	10.1016/J.DEVCEL.2010.02.012	Q28280404
10.1016/J.STEM.2010.03.015	Mouse	Embryo	Tang	GSE20187	Tracing the derivation of embryonic stem cells from the inner cell mass by single-cell RNA-Seq analysis.	10.1016/J.STEM.2010.03.015	Q34619418
10.1101/GR.110882.110	Mouse	Culture	STRT-seq	GSE29087	Characterization of the single-cell transcriptional landscape by highly multiplex RNA-seq	10.1101/GR.110882.110	Q24598443
10.1371/JOURNAL.PONE.0021208	Mouse	Embryo	Tang	GSE22182	Deterministic and stochastic allele specific gene expression in single mouse blastomeres	10.1371/JOURNAL.PONE.0021208	Q33952225
10.1038/NBT.2282	Human, Mouse	Embryo, Culture, Tumor	SMART-seq	GSE38495	Full-length mRNA-Seq from single-cell levels of RNA and individual circulating tumor cells.	10.1038/NBT.2282	Q24630239
10.1002/DVDY.23850	Mouse	Culture	Brouilette	GSE38198	A simple and novel method for RNA-seq library preparation of single cell cDNA analysis by hyperactive Tn5 transposase.	10.1002/DVDY.23850	Q34387341
10.1016/J.CELREP.2012.08.003	C elegans	Embryo	CEL-seq	SRP014672	CEL-Seq: single-cell RNA-Seq by multiplexed linear amplification.	10.1016/J.CELREP.2012.08.003	Q34297012
10.1016/J.CELL.2012.08.023	Mouse	Culture	BioMark		Single-cell expression analyses during cellular reprogramming reveal an early stochastic and a late hierarchic phase.	10.1016/J.CELL.2012.08.023	Q34299819
10.1038/NCB2709	Mouse	Bone marrow	BioMark		Characterization of transcriptional networks in blood stem and progenitor cells using high-throughput single-cell gene expression analysis	10.1038/NCB2709	Q42675260
10.1186/GB-2013-14-4-R31	Mouse	Culture	Quartz-seq	GSE42268	Quartz-Seq: a highly reproducible and sensitive single-cell RNA sequencing method, reveals non-genetic gene-expression heterogeneity	10.1186/GB-2013-14-4-R31	Q21183988
10.1038/NATURE12172	Mouse	Culture	SMARTer	GSE41265	Single-cell transcriptomics reveals bimodality in expression and splicing in immune cells	10.1038/NATURE12172	Q29617430
10.1038/NCB2798	Mouse	Embryo	Tang	E-MTAB-1178	A tripartite transcription factor network regulates primordial germ cell specification in mice	10.1038/NCB2798	Q24608859
10.1038/NATURE12364	Human, Mouse	Embryo	Tang	GSE44183	Genetic programs in human and mouse early embryos revealed by single-cell RNA sequencing.	10.1038/NATURE12364	Q34360246
10.1038/NSMB.2660	Human	Culture	Tang	GSE36552	Single-cell RNA-Seq profiling of human preimplantation embryos and embryonic stem cells.	10.1038/NSMB.2660	Q42774013
10.1038/NMETH.2645	Arabidopsis, Mouse	Root, Spleen	SMARTer (C1)	E-MTAB-1499	Accounting for technical noise in single-cell RNA-seq experiments.	10.1038/NMETH.2645	Q42774165
10.1038/NMETH.2639	Human, Mouse	Culture	Smart-seq2	GSE49321	Smart-seq2 for sensitive full-length transcriptome profiling in single cells.	10.1038/NMETH.2639	Q34993864
10.1038/NMETH.2694	Human	Culture	SMARTer (C1)	GSE51254	Quantitative assessment of single-cell RNA-sequencing methods.	10.1038/NMETH.2694	Q33619848
10.1073/PNAS.1319700110	Mouse	Culture	Tang (nuclei)	SRP020097	RNA-sequencing from single nuclei.	10.1073/PNAS.1319700110	Q30412651
10.1101/GR.161034.113	Human	Culture	SMARTer	GSE44618	From single-cell to cell-pool transcriptomes: stochasticity in gene expression and RNA splicing.	10.1101/GR.161034.113	Q39050290
