,0
0,Tumors
1,Calvaria
2,Trachea
3,Cervix
4,Fallopian tube
5,Lung
6,Synovial tissue
7,Skeletal muscle
8,Incisor growth region
9,Artery
10,Mammary gland
11,Rib
12,Knee
13,Thymus
14,Temporal lobe
15,Kidney
16,Embryo
17,Ureter
18,Small intestine
19,Tongue
20,Heart
21,Gut
22,Kidney marrow
23,Lymph nodes
24,Placenta
25,Cerebellum
26,Leg
27,Spleen
28,Testis
29,Tonsil
30,Ear
31,Thyroid
32,Lumbar spinal cord
33,Bladder
34,Partoid
35,Fat
36,Eye
37,Lymp node
38,Chorionic villus
39,Neck
40,Ileum
41,Retina
42,Testes
43,Large intestine
44,Adipose
45,ICM
46,Lymph node
47,Brain
48,Tibialis anterior
49,Ovary
50,Bile duct
51,Bone marrow
52,Organoid
53,Duodenum
54,PBMC
55,Root
56,Spine
57,Whole organism
58,Sperm
59,Aorta
60,Vasculature
61,Mouth
62,Tumor
63,Skin
64,Nasal epithelium
65,Airways
66,Decidua
67,Colon
68,Joint
69,Adrenal gland
70,Digit tip
71,Ascending colon
72,Face
73,Culture
74,Wing
75,Je junum
76,Eye disc
77,Intestine
78,Uterus
79,Umbilical vein
80,Cerebrospinal fluid
81,Rectum
82,Neural tube
83,Esophagus
84,Thryoid
85,Gall bladder
86,Epityphlon
87,Stomach
88,Breast
89,Stria vascularis
90,Prostate
91,Head
92,Esophegus
93,Salivary glands
94,Oocyte
95,Spinal cord
96,Oesophagus
97,Muscle
98,Pancreas
99,Pleura
100,Tail
101,Blood
102,Omentum
103,Yolk sac
104,Gonad
105,Cullture
106,Liver
